Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2013,Arthur Brown,OLB,Kansas State,Big 12,3,2,56,0.6666666667,50,4,72,241,4.62,24,116,4.47,7.24,32,0,0,0,0,0,0,0,0,0,0,0,0,122,79,201,16.5,3,3,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Curtis Brown,CB,Texas,Big 12,3,3,95,0.6666666667,52,4,72,185,4.51,10,128,4,6.59,39.5,0,0,0,0,0,0,0,0,0,0,0,0,82,26,108,2.5,0,2,151,1,6,0,0,0,0,0,0,0,14,199,0,0,0,0,0,0,0
2018,Tony Brown,CB,Alabama,SEC,1,0,0,0.6666666667,39,4,72,198,4.35,14,126,4.11,6.78,31.5,0,0,0,0,0,0,0,0,0,0,0,0,56,30,86,4.5,0.5,3,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,David Buehler,K,Southern California,Pac-10,9,5,172,0.6666666667,39,3,74,227,4.57,25,115,4.58,7.31,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,97.5,33,78.8,0,0
2016,Leonte Carroo,WR,Rutgers,Big Ten,2,3,86,0.6666666667,30,3,72,211,4.5,14,120,4.4,7.03,35.5,0,0,0,0,0,0,0,0,0,122,2373,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0
2017,Bryan Cox Jr.,DE,Florida,SEC,1,0,0,0.6666666667,35,4,75,265,4.89,16,109,4.46,7.36,26.5,0,0,0,0,0,0,0,0,0,0,0,0,51,48,99,20.5,10,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2018,Trevor Daniel,P,Tennessee,SEC,1,0,0,0.6666666667,38,3,73,230,4.98,23,119,4.47,7.29,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,45.9
2018,Dee Delaney,CB,Small,ACC,4,0,0,0.6666666667,8,1,73,194,4.46,13,120,4.25,6.95,32.5,0,0,0,0,0,0,0,0,0,0,0,0,24,15,39,1.5,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Kavon Frazier,FS,Small,MAC,10,6,212,0.6666666667,49,4,72,217,4.53,18,119,4.78,7.57,32,0,0,0,0,0,0,0,0,0,0,0,0,144,89,233,4.5,0,5,79,1,13,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0
2014,Demetri Goodson,CB,Baylor,Big 12,3,6,197,0.6666666667,19,3,71,194,4.52,11,123,4.34,6.8,37,0,0,0,0,0,0,0,0,0,0,0,0,38,5,43,2,0,4,77,0,13,0,0,0,0,0,0,0,5,149,0,0,0,0,0,0,0
2015,Rashad Greene,WR,Florida State,ACC,4,5,139,0.6666666667,51,4,71,182,4.53,8,122,4.12,6.88,36.5,0,0,0,0,0,0,9,81,1,270,3830,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,0,38,468,2,0,0,0,0,0,0
2012,Junior Hemingway,WR,Michigan,Big Ten,2,7,238,0.6666666667,47,5,73,225,4.48,21,124,3.98,6.59,35.5,0,0,0,0,0,0,5,9,0,88,1638,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,11,120,0,0,0,0,0,0,0
2016,Kevin Hogan,QB,Stanford,Pac-12,5,5,162,0.6666666667,51,4,75,218,4.78,16,113,4.31,6.9,32.5,1103,727,9385,75,29,154.6,315,1249,15,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Michael Hoomanawanui,TE,Illinois,Big Ten,2,5,132,0.6666666667,41,4,76,264,4.77,25,115,4.83,7.87,34.5,0,0,0,0,0,0,0,0,0,40,490,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0,0,0,0
2013,Mike James,RB,Miami (FL),ACC,4,6,189,0.6666666667,50,4,70,223,4.53,28,115,4.62,7.45,35,0,0,0,0,0,0,304,1340,17,67,585,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,415,0,0,0,0,0,0,0
2012,A.J. Jenkins,WR,Illinois,Big Ten,2,1,30,0.6666666667,46,4,72,190,4.37,12,124,4.24,6.92,38.5,0,0,0,0,0,0,6,25,0,167,2432,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,773,1,0,0,0,0,0,0
2016,Ufomba Kamalu,DE,Miami (FL),ACC,4,0,0,0.6666666667,33,3,77,295,5.01,26,106,4.58,7.32,25,0,0,0,0,0,0,0,0,0,0,0,0,48,46,94,11.5,8,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,Steve Longa,ILB,Rutgers,Big Ten,2,0,0,0.6666666667,37,3,73,241,4.78,19,116,4.56,7.5,32,0,0,0,0,0,0,0,0,0,0,0,0,197,138,335,17,7,0,0,0,7,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2017,Shalom Luani,SS,Small,Pac-12,5,7,221,0.6666666667,25,2,71,202,4.55,12,116,4.21,6.87,31,0,0,0,0,0,0,0,0,0,0,0,0,114,43,157,11.5,2,8,199,1,11,1,0,0,3,0,0,0,1,8,0,0,0,0,0,0,0
2013,Stansly Maponga,DE,TCU,Big 12,3,5,153,0.6666666667,25,2,74,256,4.78,30,116,4.38,7.43,29.5,0,0,0,0,0,0,0,0,0,0,0,0,63,50,113,23,15.5,0,0,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
